epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,90.2209,0.6302,0.56918,0.60112,0.90931,0.69722,0.83462,0.87912,0.73653,0.70068,0.83086,0.86452,0.60732,0.71061,1.41581,1.44594,0.9458,0.00130393,0.00130393,0.00130393
46,92.1521,0.59153,0.44409,0.5946,0.90118,0.76442,0.7,0.90121,0.73585,0.72988,0.68077,0.85694,0.58742,0.71357,1.4844,1.29405,0.92551,0.00129568,0.00129568,0.00129568
47,94.0583,0.58081,0.45636,0.62041,0.90365,0.71015,0.84654,0.89494,0.7365,0.67475,0.81148,0.82304,0.57981,0.7234,1.48748,1.01551,0.93213,0.00128742,0.00128742,0.00128742
48,95.9426,0.63885,0.53051,0.65736,0.94058,0.87319,0.91154,0.94129,0.77321,0.84995,0.85201,0.89306,0.61802,0.74148,1.7838,0.83701,0.95487,0.00127917,0.00127917,0.00127917
49,97.878,0.60264,0.47393,0.57612,0.91049,0.86608,0.9419,0.93664,0.78185,0.84862,0.92267,0.90965,0.64569,0.70727,1.61981,0.73655,0.92437,0.00127092,0.00127092,0.00127092
50,99.7917,0.62756,0.50298,0.58676,0.9181,0.89386,0.96154,0.94352,0.77905,0.89386,0.96154,0.93494,0.69613,0.70379,1.44233,0.73328,0.90837,0.00126267,0.00126267,0.00126267
51,101.699,0.62496,0.50714,0.6109,0.92018,0.86203,0.98077,0.94857,0.79106,0.84733,0.96154,0.91868,0.64523,0.66083,1.21784,0.76211,0.89827,0.00125442,0.00125442,0.00125442
52,103.593,0.55037,0.39682,0.5559,0.92178,0.97046,0.95463,0.98366,0.81939,0.97046,0.95463,0.98391,0.74036,0.62908,1.07904,0.60997,0.89736,0.00124617,0.00124617,0.00124617
53,105.551,0.63313,0.60608,0.61719,0.92314,0.87186,0.9414,0.9826,0.804,0.87186,0.9414,0.9826,0.71585,0.66524,0.94256,0.71764,0.94174,0.00123791,0.00123791,0.00123791
54,107.44,0.51389,0.48958,0.58593,0.8949,0.87052,0.96154,0.98611,0.82187,0.87052,0.96154,0.98611,0.73891,0.65087,0.93011,0.68719,0.93669,0.00122966,0.00122966,0.00122966
55,109.365,0.58114,0.50821,0.58844,0.90413,0.93982,0.89859,0.97739,0.82881,0.93982,0.89859,0.97739,0.72182,0.63989,0.91729,0.64412,0.92905,0.00122141,0.00122141,0.00122141
56,111.302,0.60562,0.45774,0.59176,0.90799,0.8675,0.96154,0.95367,0.80871,0.84834,0.94231,0.92418,0.6755,0.60302,0.87887,0.71187,0.9017,0.00121316,0.00121316,0.00121316
57,113.219,0.57589,0.4339,0.53512,0.89916,0.71965,0.99781,0.91392,0.7565,0.70532,0.97858,0.88958,0.63838,0.6208,0.88633,0.75621,0.91869,0.00120491,0.00120491,0.00120491
58,115.134,0.58308,0.46608,0.60003,0.93635,0.85852,0.98077,0.97344,0.80016,0.85218,0.97648,0.94674,0.66077,0.65125,0.90754,0.78105,0.92318,0.00119666,0.00119666,0.00119666
59,117.023,0.57134,0.47204,0.58662,0.92099,0.76813,0.94231,0.89208,0.71018,0.76525,0.94231,0.87168,0.57965,0.65433,0.94319,0.89082,0.92385,0.0011884,0.0011884,0.0011884
60,118.917,0.5619,0.45301,0.58683,0.91578,0.73894,0.89631,0.84126,0.73868,0.73025,0.92059,0.85038,0.60812,0.62249,0.95026,0.92883,0.89986,0.00118015,0.00118015,0.00118015
61,120.821,0.55226,0.42738,0.55633,0.90442,0.77896,0.92308,0.87577,0.73693,0.77896,0.92308,0.87913,0.62762,0.62086,0.94809,0.89757,0.8996,0.0011719,0.0011719,0.0011719
62,122.697,0.52302,0.40516,0.52633,0.8935,0.84294,0.78251,0.91034,0.7752,0.84294,0.78251,0.91034,0.61622,0.61225,0.94843,0.83375,0.91691,0.00116365,0.00116365,0.00116365
63,124.601,0.51459,0.43351,0.50256,0.88526,0.89814,0.81874,0.93305,0.80794,0.89814,0.81874,0.93305,0.65432,0.58217,0.98335,0.82255,0.91019,0.0011554,0.0011554,0.0011554
64,126.494,0.51467,0.3957,0.53516,0.89753,0.76999,0.91902,0.92925,0.80367,0.77138,0.9167,0.92255,0.69068,0.56898,1.19401,0.83805,0.86399,0.00114715,0.00114715,0.00114715
65,128.354,0.51109,0.4089,0.54245,0.86964,0.81195,0.90385,0.8975,0.77044,0.80458,0.88462,0.88677,0.63585,0.5593,1.08541,0.73477,0.86888,0.00113889,0.00113889,0.00113889
66,130.237,0.5792,0.44615,0.55564,0.92283,0.82654,0.96251,0.93719,0.8085,0.89273,0.88462,0.92857,0.6626,0.58443,1.09976,0.6554,0.88162,0.00113064,0.00113064,0.00113064
67,132.126,0.50902,0.41025,0.5158,0.87639,0.82362,0.93499,0.94241,0.80988,0.84322,0.95394,0.95466,0.71217,0.57522,0.99221,0.64525,0.87221,0.00112239,0.00112239,0.00112239
68,134.012,0.53723,0.43454,0.51768,0.91851,0.7649,0.94231,0.91659,0.80853,0.77912,0.92308,0.88933,0.68861,0.58172,1.06125,0.78908,0.88312,0.00111414,0.00111414,0.00111414
69,135.907,0.49075,0.43755,0.47144,0.87693,0.76488,0.92308,0.91473,0.81282,0.75214,0.90385,0.88958,0.71512,0.57955,0.97164,0.78751,0.88775,0.00110589,0.00110589,0.00110589
70,137.784,0.50983,0.37492,0.51224,0.87231,0.83908,0.94231,0.93986,0.83278,0.83478,0.94231,0.92608,0.73956,0.55649,0.9012,0.70984,0.87345,0.00109764,0.00109764,0.00109764
71,139.703,0.52083,0.66294,0.57954,0.89356,0.89364,0.95388,0.95929,0.85863,0.91141,0.9721,0.96676,0.74458,0.52387,0.87829,0.61784,0.86503,0.00108938,0.00108938,0.00108938
72,141.66,0.53651,0.42333,0.50913,0.90117,0.93324,0.9479,0.95878,0.84366,0.95176,0.9667,0.98276,0.69803,0.54097,1.02638,0.56093,0.88615,0.00108113,0.00108113,0.00108113
73,143.567,0.51803,0.41521,0.46721,0.89912,0.87862,0.96708,0.94488,0.83987,0.89588,0.98614,0.96863,0.67923,0.52607,1.13062,0.56111,0.89029,0.00107288,0.00107288,0.00107288
74,145.478,0.491,0.387,0.47623,0.86782,0.85825,0.96154,0.94331,0.82527,0.89247,1,0.96469,0.65563,0.58184,1.21397,0.59565,0.91842,0.00106463,0.00106463,0.00106463
75,147.361,0.5145,0.44071,0.50788,0.90035,0.89154,0.93893,0.93979,0.81163,0.92489,0.97683,0.96208,0.66505,0.62966,1.27358,0.64734,0.93233,0.00105638,0.00105638,0.00105638
76,149.273,0.53395,0.43258,0.50307,0.89169,0.77932,0.97352,0.92553,0.82558,0.78407,1,0.93182,0.66396,0.54212,1.17746,0.70722,0.89109,0.00104813,0.00104813,0.00104813
77,151.193,0.48828,0.39732,0.4828,0.86982,0.89667,0.82083,0.9189,0.82282,0.89667,0.82083,0.92449,0.68215,0.52135,1.06401,0.67879,0.87302,0.00103987,0.00103987,0.00103987
78,153.1,0.4937,0.41168,0.49332,0.89153,0.94157,0.88077,0.94948,0.83084,0.94157,0.88077,0.94975,0.69997,0.566,1.03589,0.57905,0.90542,0.00103162,0.00103162,0.00103162
79,154.99,0.45974,0.36735,0.46062,0.86444,0.96411,0.96513,0.97588,0.84946,0.96411,0.96513,0.97427,0.68814,0.56249,1.02146,0.52618,0.88987,0.00102337,0.00102337,0.00102337
80,156.901,0.48449,0.44805,0.49723,0.89523,0.95682,0.95903,0.97812,0.86025,0.95682,0.95903,0.96149,0.69042,0.54658,1.06439,0.47853,0.90003,0.00101512,0.00101512,0.00101512
81,158.79,0.53237,0.37349,0.55939,0.92981,0.93883,0.98077,0.97844,0.85473,0.9211,0.96154,0.95676,0.68784,0.52661,1.07393,0.51093,0.87755,0.00100687,0.00100687,0.00100687
